month,business_unit,total_cost,is_prediction
2025-09,Data Exchange Platform COGS,674613.127849999,True
2025-10,Data Exchange Platform COGS,686948.8363439642,True
2025-11,Data Exchange Platform COGS,699284.5448379295,True
2025-12,Data Exchange Platform COGS,711620.2533318948,True
2025-01,Observability-COGS,720190.0,False
2025-02,Observability-COGS,731522.0,False
2025-03,Observability-COGS,830276.0,False
2025-04,Observability-COGS,848324.0,False
2025-05,Observability-COGS,951991.0,False
2025-06,Observability-COGS,1093819.0,False
2025-07,Observability-COGS,1057910.0,False
2025-08,Observability-COGS,901430.0,False
2025-09,Observability-COGS,1095231.8214285714,True
2025-10,Observability-COGS,1140409.3928571427,True
2025-11,Observability-COGS,1185586.964285714,True
2025-12,Observability-COGS,1230764.5357142854,True
2025-01,Trust_COGS,345257.0,False
2025-02,Trust_COGS,332612.0,False
2025-03,Trust_COGS,371722.0,False
2025-04,Trust_COGS,362968.0,False
2025-05,Trust_COGS,357670.0,False
2025-06,Trust_COGS,361524.0,False
2025-07,Trust_COGS,375625.0,False
2025-08,Trust_COGS,391546.0,False
2025-09,Trust_COGS,389322.42857142846,True
2025-10,Trust_COGS,395312.85714285704,True
2025-11,Trust_COGS,401303.2857142856,True
2025-12,Trust_COGS,407293.7142857142,True
2025-01,Infrastructure Svcs-Bitbucket,994708.0,False
2025-02,Infrastructure Svcs-Bitbucket,972323.0,False
2025-03,Infrastructure Svcs-Bitbucket,1071376.0,False
2025-04,Infrastructure Svcs-Bitbucket,1065996.0,False
2025-05,Infrastructure Svcs-Bitbucket,1102421.0,False
2025-06,Infrastructure Svcs-Bitbucket,1021089.0,False
2025-07,Infrastructure Svcs-Bitbucket,1122173.0,False
2025-08,Infrastructure Svcs-Bitbucket,1124310.0,False
2025-09,Infrastructure Svcs-Bitbucket,1141908.1428571427,True
2025-10,Infrastructure Svcs-Bitbucket,1160265.619047619,True
2025-11,Infrastructure Svcs-Bitbucket,1178623.0952380951,True
2025-12,Infrastructure Svcs-Bitbucket,1196980.5714285714,True
2025-01,Engineering - Automation COGS,297203.0,False
2025-02,Engineering - Automation COGS,345215.0,False
2025-03,Engineering - Automation COGS,442175.0,False
2025-04,Engineering - Automation COGS,497639.0,False
2025-05,Engineering - Automation COGS,542375.0,False
2025-06,Engineering - Automation COGS,652280.0,False
2025-07,Engineering - Automation COGS,632435.0,False
2025-08,Engineering - Automation COGS,546106.0,False
2025-09,Engineering - Automation COGS,700864.5,True
2025-10,Engineering - Automation COGS,746739.1666666667,True
2025-11,Engineering - Automation COGS,792613.8333333334,True
2025-12,Engineering - Automation COGS,838488.5,True
2025-01,Infrastructure Svcs-Statuspage,68960.0,False
2025-02,Infrastructure Svcs-Statuspage,56898.0,False
2025-03,Infrastructure Svcs-Statuspage,62918.0,False
2025-04,Infrastructure Svcs-Statuspage,60385.0,False
2025-05,Infrastructure Svcs-Statuspage,64338.0,False
2025-06,Infrastructure Svcs-Statuspage,64465.0,False
2025-07,Infrastructure Svcs-Statuspage,64748.0,False
2025-08,Infrastructure Svcs-Statuspage,65013.0,False
2025-09,Infrastructure Svcs-Statuspage,36722.62515213282,True
2025-10,Infrastructure Svcs-Statuspage,29520.105430118845,True
2025-11,Infrastructure Svcs-Statuspage,22317.585708104867,True
2025-12,Infrastructure Svcs-Statuspage,15115.065986090885,True
2025-01,Engineering-Core Experiences and Media_COGS,803494.0,False
2025-02,Engineering-Core Experiences and Media_COGS,620403.0,False
2025-03,Engineering-Core Experiences and Media_COGS,601448.0,False
2025-04,Engineering-Core Experiences and Media_COGS,574614.0,False
2025-05,Engineering-Core Experiences and Media_COGS,539806.0,False
2025-06,Engineering-Core Experiences and Media_COGS,491542.0,False
2025-07,Engineering-Core Experiences and Media_COGS,512168.0,False
2025-08,Engineering-Core Experiences and Media_COGS,453763.0,False
2025-09,Engineering-Core Experiences and Media_COGS,394985.92857142887,True
2025-10,Engineering-Core Experiences and Media_COGS,355059.52380952414,True
2025-11,Engineering-Core Experiences and Media_COGS,315133.11904761946,True
2025-12,Engineering-Core Experiences and Media_COGS,275206.7142857148,True
2025-01,Site Reliability Engineering - COGS,23870.0,False
2025-02,Site Reliability Engineering - COGS,23086.0,False
2025-03,Site Reliability Engineering - COGS,23956.0,False
2025-04,Site Reliability Engineering - COGS,30112.0,False
